sample,stock_months,unique_permnos,mean_percent,std_percent,min_percent,p01_percent,p25_percent,median_percent,p75_percent,p90_percent,p99_percent,max_percent,high_fee_share_gt_1pct,util_mean_raw,util_median_raw,util_p90_raw,util_p99_raw,market_cap_group
market_cap_group_1,164560,5718,6.2177978122569275,19.354492171685518,0.1,0.25,0.375,0.75,4.60148975,13.850498000000037,86.11283,983.2684,0.4665653864851726,18.65227469035423,6.342763,62.137375999999996,97.79948840000009,1
market_cap_group_2,166995,5652,2.7797352394802233,11.807974759891014,0.1,0.23828834000000002,0.3442795,0.375,1.0,5.3513308000000075,45.0,801.4244,0.24627683463576755,19.499640148673528,9.62433,56.80921800000002,93.1884432,2
market_cap_group_3,168488,4660,1.4402131701130052,9.497359933971596,0.1,0.21669350999999998,0.29391,0.375,0.5,1.375,23.71360770000014,887.1444,0.11965837329661459,19.113735245772478,11.07279,51.228055999999995,88.09587999999997,3
market_cap_group_4,168996,3474,0.7523227025610075,4.650418762135528,0.1,0.2035838,0.288348,0.375,0.375,0.5375,9.0,721.7608,0.05174086960638122,16.37786045640332,9.708368,41.98418200000005,81.50102200000002,4
market_cap_group_5,167546,1994,0.4385699843445979,2.1868339532984127,0.1,0.18720805000000001,0.2879545,0.375,0.375,0.5,1.5,552.8457000000001,0.013775321404271066,8.343868790257526,3.3053280000000003,22.78205100000002,64.76232189999986,5
