sample,stock_months,unique_permnos,mean_percent,std_percent,min_percent,p01_percent,p25_percent,median_percent,p75_percent,p90_percent,p99_percent,max_percent,high_fee_share_gt_1pct,util_mean_raw,util_median_raw,util_p90_raw,util_p99_raw
CRSP eligible common stocks with Markit fee,836585,10169,2.307812720700228,11.375440046238198,0.1,0.2121914,0.302345,0.375,0.5,3.5000000000000004,40.0,983.2684,0.1782460837810862,16.38068277469569,7.569317,47.33941,90.766165
Prototype common universe with 4-of-21 fee and fee_asof,224142,7937,1.6251273827261292,9.3560301409769,0.1,0.20647869000000002,0.2976875,0.375,0.5,1.7761942999999998,25.671052999999997,983.2684,0.13148807452418557,15.115581951955546,6.620752,43.832192000000006,88.13633599999999
