period,rows,indicativefee_nonmissing,dcbs_nonmissing,saf_nonmissing,sar_nonmissing,utilisation_nonmissing,activeutilisation_nonmissing,cusip_nonmissing,cusip8_nonmissing,cusip9_nonmissing,indicativefee_coverage,dcbs_coverage,saf_coverage,sar_coverage,utilisation_coverage,activeutilisation_coverage
2002-08,3459,1247,1247,0,0,3281,3281,,,,0.3605088175773345,0.3605088175773345,0.0,0.0,0.9485400404741254,0.9485400404741254
2002-09,3428,1298,1298,0,0,3279,3279,,,,0.37864644107351225,0.37864644107351225,0.0,0.0,0.956534422403734,0.956534422403734
2002-10,3315,1008,1008,0,0,3227,3227,,,,0.3040723981900452,0.3040723981900452,0.0,0.0,0.9734539969834087,0.9734539969834087
2002-11,3304,1011,1011,0,0,3215,3215,,,,0.30599273607748184,0.30599273607748184,0.0,0.0,0.9730629539951574,0.9730629539951574
2002-12,3400,1112,1112,0,0,3310,3310,,,,0.3270588235294118,0.3270588235294118,0.0,0.0,0.9735294117647059,0.9735294117647059
2003-01,3339,1092,1092,0,0,3254,3254,,,,0.3270440251572327,0.3270440251572327,0.0,0.0,0.9745432764300689,0.9745432764300689
2003-02,3394,2137,2137,0,0,3199,3199,,,,0.6296405421331762,0.6296405421331762,0.0,0.0,0.9425456688273424,0.9425456688273424
2003-03,4960,3075,3075,0,0,4555,4555,,,,0.6199596774193549,0.6199596774193549,0.0,0.0,0.9183467741935484,0.9183467741935484
2003-04,5277,3610,3610,0,0,4474,4474,,,,0.6841008148569263,0.6841008148569263,0.0,0.0,0.8478302065567558,0.8478302065567558
2003-05,5186,3564,3564,0,0,4500,4500,,,,0.6872348630929426,0.6872348630929426,0.0,0.0,0.8677207867335133,0.8677207867335133
2003-06,5448,4022,4022,0,0,4285,4285,,,,0.7382525697503671,0.7382525697503671,0.0,0.0,0.7865271659324523,0.7865271659324523
2003-07,5533,4074,4074,0,0,4386,4386,,,,0.7363094162298933,0.7363094162298933,0.0,0.0,0.7926983553226098,0.7926983553226098
2003-08,5181,3487,3487,0,0,3801,3801,,,,0.673036093418259,0.673036093418259,0.0,0.0,0.7336421540243196,0.7336421540243196
2003-09,5527,3866,3866,0,0,4438,4438,,,,0.6994753030577167,0.6994753030577167,0.0,0.0,0.8029672516736023,0.8029672516736023
2003-10,5615,4322,4322,0,0,4648,4648,,,,0.7697239536954585,0.7697239536954585,0.0,0.0,0.8277827248441674,0.8277827248441674
2003-11,5858,4475,4475,0,0,4851,4851,,,,0.7639125981563674,0.7639125981563674,0.0,0.0,0.8280983270740867,0.8280983270740867
2003-12,5688,4100,4100,0,0,4945,4945,,,,0.7208157524613221,0.7208157524613221,0.0,0.0,0.8693741209563994,0.8693741209563994
2004-01,6293,4897,4897,0,0,5113,5113,,,,0.7781662164309551,0.7781662164309551,0.0,0.0,0.8124900683298903,0.8124900683298903
2004-02,6062,4562,4562,0,0,5090,5090,,,,0.7525569119102606,0.7525569119102606,0.0,0.0,0.8396568789178489,0.8396568789178489
2004-03,6256,4630,4630,0,0,5449,5449,,,,0.7400895140664961,0.7400895140664961,0.0,0.0,0.8710038363171355,0.8710038363171355
2004-04,6019,4678,4678,0,0,5140,5140,,,,0.777205515866423,0.777205515866423,0.0,0.0,0.8539624522345904,0.8539624522345904
2004-05,6083,4631,4631,0,0,5251,5251,,,,0.7613019891500904,0.7613019891500904,0.0,0.0,0.8632253822127239,0.8632253822127239
2004-06,6464,4609,4609,0,0,5943,5943,,,,0.7130259900990099,0.7130259900990099,0.0,0.0,0.9193997524752475,0.9193997524752475
