component,sum_squares,r2
total,88155.86599323791,1.0
entity_means_only,48492.56954663147,0.550077626715744
time_means_only,3640.747254763131,0.04129897895895434
two_way_entity_time,45626.792631653974,0.5175695583905197
residual_after_two_way,42529.073361583934,0.48243044160948034
