lag_months,pair_observations,fee_autocorrelation,high_fee_threshold,high_fee_persistence_probability
1,1597280,0.8472233642376631,0.01,0.9001937682064086
3,1529387,0.7230345753300659,0.01,0.8203157511444028
6,1439308,0.640282107336981,0.01,0.7298116937161881
12,1286137,0.5275757597432195,0.01,0.5930139409071994
