model,month,status,n_stocks,objective_value,turnover,transaction_cost,short_borrow_cost,long_lending_revenue,gross_return,net_return,short_weight,gross_exposure,fee_exposure
M0,2007-01,CLARABEL_SOLVED,856,1.8752824325974327,2.352803662277381,0.0,0.0,0.0,0.04119455849597731,0.04119455849597731,0.25000000859831917,1.5000000171966392,0.00035937500543232613
M0,2007-02,CLARABEL_SOLVED,952,1.8181099330013428,2.0568421171294027,0.0,0.0,0.0,-0.05850008679738759,-0.05850008679738759,0.2500000002614304,1.5000000005228622,0.0009427083337790675
M0,2007-03,CLARABEL_SOLVED,955,1.946903737900448,1.7997801341942226,0.0,0.0,0.0,0.022214580067829073,0.022214580067829073,0.250000001794617,1.500000003589233,0.0006208334410598592
M0,2007-04,CLARABEL_SOLVED,949,1.7983605548112715,2.151159862577841,0.0,0.0,0.0,0.06196369938046291,0.06196369938046291,0.25000000204175626,1.500000004083512,0.0009322916690732356
M0,2007-05,CLARABEL_SOLVED,953,1.7742409244920596,2.208888890329092,0.0,0.0,0.0,0.07460510172811136,0.07460510172811136,0.2500000004299897,1.5000000008599794,0.0015293575427321108
M0,2007-06,CLARABEL_SOLVED,949,1.8298332072069496,2.069396303560846,0.0,0.0,0.0,0.0054791345706465405,0.0054791345706465405,0.25000002956222195,1.500000059124444,0.0017458333809513551
M0,2007-07,CLARABEL_SOLVED,955,1.8061591395053211,2.1580952756789964,0.0,0.0,0.0,-0.04708068610946396,-0.04708068610946396,0.2500000008665701,1.5000000017331403,0.0004000000010107703
M0,2007-08,CLARABEL_SOLVED,962,1.774630990604419,2.5370148750360366,0.0,0.0,0.0,0.055884811857580624,0.055884811857580624,0.2500000002175501,1.500000000435099,0.0005843750005057256
M0,2007-09,CLARABEL_SOLVED,959,1.760419211633523,2.4574315495746313,0.0,0.0,0.0,0.10039672153216234,0.10039672153216234,0.2500000086936623,1.5000000173873222,0.0003916666607661168
M0,2007-10,CLARABEL_SOLVED,950,1.7490162297935252,2.3594594857249014,0.0,0.0,0.0,0.011044056534743881,0.011044056534743881,0.2500000002437103,1.5000000004874208,0.001895833331676415
M0,2007-11,CLARABEL_SOLVED,954,1.8673027411233372,2.038881839093867,0.0,0.0,0.0,-0.09982401533252672,-0.09982401533252672,0.2500000006923765,1.5000000013847536,0.0007822916673044662
M0,2007-12,CLARABEL_SOLVED,954,1.929206197005679,2.2116883224897714,0.0,0.0,0.0,0.03344621684727275,0.03344621684727275,0.25000000915834236,1.5000000183166846,0.00015625008318304018
M0,2008-01,CLARABEL_SOLVED,960,1.9440721210050873,2.1593314953848397,0.0,0.0,0.0,-0.08538564164425641,-0.08538564164425641,0.25000002299930063,1.5000000459986014,0.0015666666945841363
